Variable Name,Variable Label,Variable Order in File,Variable Type,Length,Keep,Factors,FT
USEEL,Electricity is used in home,654,Numeric,3,1,"0
1",f
ELWARM,Electricity used for space heating,662,Numeric,3,1,"0
1",f
ELECAUX,Electricity used for secondary space heating,663,Numeric,3,1,"0
1",f
ELCOOL,Electricity used for air conditioning,664,Numeric,3,1,"0
1",f
ELWATER,Electricity used for water heating,665,Numeric,3,1,"0
1",f
EMPLOYHH,Employment status of householder,755,Numeric,8,1,"0
1
2",f
NHSLDMEM,Number of household members,760,Numeric,8,1,0 - 15,f
HBUSNESS,Home-based business or service,775,Numeric,8,1,"0
1",f
ATHOME,Household member at home on typical week days,776,Numeric,8,1,"0
1",f
MONEYPY,2009 gross household income,786,Numeric,8,1,"1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24",of
POVERTY100,Household income at or below 100% of poverty line,787,Numeric,8,1,"0
1",f
POVERTY150,Household income at or below 150% of poverty line,788,Numeric,8,1,"0
1",f
TOTSQFT,"Total square footage (includes all attached garages, all basements, and finished/heated/cooled attics)",828,Numeric,8,1,0,nf
TOTSQFT_EN,"Total square footage (includes heated/cooled garages, all basements, and finished/heated/cooled attics). Used for EIA data tables.",829,Numeric,8,1,0,nf
TOTHSQFT,Total heated square footage,830,Numeric,8,1,0,nf
TOTUSQFT,Total unheated square footage,831,Numeric,8,1,0,nf
TOTCSQFT,Total cooled square footage,832,Numeric,8,1,0,nf
TOTUCSQFT,Total uncooled square footage,833,Numeric,8,1,0,nf
KWH,"Total Site Electricity usage, in kilowatt-hours, 2009",840,Numeric,8,1,0,nf
KWHSPH,"Electricity usage for space heating, in kilowatt-hours, 2009",841,Numeric,8,R,0,nf
KWHCOL,"Electricity usage for air-conditioning, central and window/wall (room), in kilowatt-hours, 2009",842,Numeric,8,R,0,nf
KWHWTH,"Electricity usage for water heating, in kilowatt-hours, 2009",843,Numeric,8,R,0,nf
DOLLAREL,"Total Electricity cost, in whole dollars, 2009",852,Numeric,8,1,0,nf
DOLELSPH,"Electricity cost for space heating, in whole dollars, 2009",853,Numeric,8,1,0,nf
DOLELCOL,"Electricity cost for air-conditioning, central and window/wall (room), in whole dollars, 2009",854,Numeric,8,1,0,nf
DOLELWTH,"Electricity cost for water heating, in whole dollars, 2009",855,Numeric,8,1,0,nf
TOTALDOL,"Total cost, in whole dollars, 2009",914,Numeric,8,1,0,nf
TOTALDOLSPH,"Total cost for space heating, in whole dollars, 2009",915,Numeric,8,1,0,nf
TOTALDOLCOL,"Total cost for air conditioning, in whole dollars, 2009",916,Numeric,8,1,0,nf
TOTALDOLWTH,"Total cost for water heating, in whole dollars, 2009",917,Numeric,8,1,0,nf
HDD50,"Heating degree days in 2009, base temperature 50F",933,Numeric,8,1,0,nf
CDD80,"Cooling degree days in 2009, base temperature 80F",934,Numeric,8,1,0,nf
GND_HDD65,"Heating degree days of ground temperature in 2009, base temperature 65F",935,Numeric,8,1,0,nf
